Zr	Fescp	Fbary	sfe	yfe2
   7.9244746e+00   7.8275246e+01   1.2549222e-01   4.9551099e-11   1.9170868e-01
   7.9941762e+00   4.8884093e+00   1.4970112e-01   2.9052550e-11   1.2298891e-01
   8.0516216e+00   3.4818056e+01   1.9908526e-01   1.1753923e-10   1.4923169e-01
   8.0616308e+00   1.5219190e+01   1.3520260e-01   1.1984376e-10   1.7215729e-01
   8.1323492e+00   7.9138585e+01   1.9330962e-01   7.7916917e-11   1.6133689e-01
   8.2257057e+00   7.1841816e+01   3.0367038e-02   1.0614201e-10   1.0018294e-01
   8.2694120e+00   8.5081822e+01   7.8367506e-02   1.6257916e-10   4.4412315e-02
   8.3350147e+00   2.4825026e+01   1.6086866e-01   5.8492442e-11   1.7794386e-01
   8.3902703e+00   1.3144273e+00   4.6772014e-02   1.4677965e-10   1.7162489e-01
   8.4353357e+00   2.6195755e+01   1.1809874e-01   1.4419117e-10   1.9966553e-01
   8.4794977e+00   6.8223415e+01   8.8444347e-02   5.7825517e-11   6.5563893e-02
   8.5146931e+00   3.9726821e+00   1.8357829e-01   1.7315108e-10   5.1313562e-02
   8.6125170e+00   5.2537879e+00   5.4009060e-02   1.3581664e-10   7.9189629e-02
   8.6340564e+00   8.0807599e+01   1.3489749e-01   4.8285726e-11   4.5689427e-02
   8.7442550e+00   8.8522788e+01   7.6458665e-02   8.5788152e-11   5.5943210e-02
   8.8017982e+00   8.7336415e+01   9.6608886e-02   5.9352442e-11   1.3818502e-01
   8.8407815e+00   2.0633219e+01   1.3143930e-01   7.7126334e-11   7.6949107e-02
   8.9090933e+00   9.3504629e+01   1.6512010e-01   1.4271731e-10   1.0393872e-01
   8.9565304e+00   9.1280074e+01   1.5540828e-01   1.3355715e-10   1.9728820e-01
   9.0237540e+00   8.5455130e+01   3.4640626e-02   1.7624269e-10   1.0576351e-01
   9.0878972e+00   6.2549164e+01   1.4242398e-01   5.9639782e-11   1.3545959e-01
   9.1130507e+00   7.7338848e+01   3.8739384e-02   1.5226077e-10   1.7585553e-01
   9.1556272e+00   7.6050874e+01   1.5447913e-02   3.9709085e-11   1.1415649e-01
   9.2104274e+00   9.7253699e+01   8.6074336e-02   1.1102004e-10   1.2176310e-01
   9.2768411e+00   8.9540382e+01   2.5896875e-02   1.5326209e-10   1.7089191e-01
   9.3580179e+00   1.7689128e+01   1.3306461e-02   1.2867521e-10   8.8255724e-02
   9.4272326e+00   4.9334886e+01   1.9817091e-01   1.4808507e-10   1.1630071e-01
   9.4715345e+00   8.3762166e+01   1.5745410e-01   1.3038332e-10   4.5951677e-02
   9.5002177e+00   4.1501460e+01   6.9230227e-02   6.5358932e-11   1.5791127e-01
   9.5813230e+00   2.1598004e+01   1.9236308e-01   6.9906066e-11   1.3083751e-01
   9.6399645e+00   1.0998090e+02   4.7593653e-02   8.6735852e-11   5.4698731e-02
   9.7218603e+00   8.3188757e+01   1.2796600e-01   1.7751692e-10   6.3157134e-02
   9.7450387e+00   6.3782009e+01   1.9677964e-01   8.9559899e-11   1.3931412e-01
   9.8097873e+00   8.4686869e+01   7.9404425e-03   1.0049901e-10   8.7521893e-02
   9.8837650e+00   2.8826235e+01   1.4588668e-01   9.0140857e-11   1.8680919e-01
   9.9525928e+00   1.0331547e+02   2.0484712e-02   2.2209977e-11   1.2073077e-01
   9.9837496e+00   4.2213345e+00   6.0314055e-02   1.4113976e-10   5.0443443e-02
